Time (s);Identifier;Duration
2.6773437500e+01;33024;7.0000000000e+00
3.8773437500e+01;33026;7.0000000000e+00
5.0773437500e+01;33027;7.0000000000e+00
6.2773437500e+01;33025;7.0000000000e+00
7.4773437500e+01;33026;7.0000000000e+00
8.6773437500e+01;33025;7.0000000000e+00
9.8773437500e+01;33024;7.0000000000e+00
1.1077343750e+02;33027;7.0000000000e+00
1.2277343750e+02;33025;7.0000000000e+00
1.3477343750e+02;33026;7.0000000000e+00
1.4677343750e+02;33027;7.0000000000e+00
1.5877343750e+02;33024;7.0000000000e+00
1.7077343750e+02;33026;7.0000000000e+00
1.8277343750e+02;33024;7.0000000000e+00
1.9477343750e+02;33027;7.0000000000e+00
2.0677343750e+02;33025;7.0000000000e+00
2.1877343750e+02;33024;7.0000000000e+00
2.3077343750e+02;33027;7.0000000000e+00
2.4277343750e+02;33025;7.0000000000e+00
2.5477343750e+02;33026;7.0000000000e+00
2.6677343750e+02;33027;7.0000000000e+00
2.7877343750e+02;33024;7.0000000000e+00
2.9077343750e+02;33025;7.0000000000e+00
3.0277343750e+02;33026;7.0000000000e+00
3.1477343750e+02;33025;7.0000000000e+00
3.2677343750e+02;33027;7.0000000000e+00
3.3877343750e+02;33026;7.0000000000e+00
3.5077343750e+02;33024;7.0000000000e+00
3.6277343750e+02;33027;7.0000000000e+00
3.7477343750e+02;33026;7.0000000000e+00
3.8677343750e+02;33024;7.0000000000e+00
3.9877343750e+02;33025;7.0000000000e+00
4.0978125000e+02;32770;0.0000000000e+00
4.0978125000e+02;33284;0.0000000000e+00
