Time (s);Identifier;Duration
8.0078125000e+000;33024;7.0000000000e+000
2.0007812500e+001;33026;7.0000000000e+000
3.2007812500e+001;33027;7.0000000000e+000
4.4007812500e+001;33025;7.0000000000e+000
5.6007812500e+001;33026;7.0000000000e+000
6.8007812500e+001;33025;7.0000000000e+000
8.0007812500e+001;33024;7.0000000000e+000
9.2007812500e+001;33027;7.0000000000e+000
1.0400781250e+002;33025;7.0000000000e+000
1.1600781250e+002;33026;7.0000000000e+000
1.2800781250e+002;33027;7.0000000000e+000
1.4000781250e+002;33024;7.0000000000e+000
1.5200781250e+002;33026;7.0000000000e+000
1.6400781250e+002;33024;7.0000000000e+000
1.7600781250e+002;33027;7.0000000000e+000
1.8800781250e+002;33025;7.0000000000e+000
2.0000781250e+002;33024;7.0000000000e+000
2.1200781250e+002;33027;7.0000000000e+000
2.2400781250e+002;33025;7.0000000000e+000
2.3600781250e+002;33026;7.0000000000e+000
2.4800781250e+002;33027;7.0000000000e+000
2.6000781250e+002;33024;7.0000000000e+000
2.7200781250e+002;33025;7.0000000000e+000
2.8400781250e+002;33026;7.0000000000e+000
2.9600781250e+002;33025;7.0000000000e+000
3.0800781250e+002;33027;7.0000000000e+000
3.2000781250e+002;33026;7.0000000000e+000
3.3200781250e+002;33024;7.0000000000e+000
3.4400781250e+002;33027;7.0000000000e+000
3.5600781250e+002;33026;7.0000000000e+000
3.6800781250e+002;33024;7.0000000000e+000
3.8000781250e+002;33025;7.0000000000e+000
3.9100781250e+002;32770;0.0000000000e+000
3.9102343750e+002;33284;0.0000000000e+000
