Time (s);Identifier;Duration
1.3062500000e+001;33024;7.0000000000e+000
2.5062500000e+001;33026;7.0000000000e+000
3.7062500000e+001;33027;7.0000000000e+000
4.9062500000e+001;33025;7.0000000000e+000
6.1062500000e+001;33026;7.0000000000e+000
7.3062500000e+001;33025;7.0000000000e+000
8.5062500000e+001;33024;7.0000000000e+000
9.7062500000e+001;33027;7.0000000000e+000
1.0906250000e+002;33025;7.0000000000e+000
1.2106250000e+002;33026;7.0000000000e+000
1.3306250000e+002;33027;7.0000000000e+000
1.4506250000e+002;33024;7.0000000000e+000
1.5706250000e+002;33026;7.0000000000e+000
1.6906250000e+002;33024;7.0000000000e+000
1.8106250000e+002;33027;7.0000000000e+000
1.9306250000e+002;33025;7.0000000000e+000
2.0506250000e+002;33024;7.0000000000e+000
2.1706250000e+002;33027;7.0000000000e+000
2.2906250000e+002;33025;7.0000000000e+000
2.4106250000e+002;33026;7.0000000000e+000
2.5306250000e+002;33027;7.0000000000e+000
2.6506250000e+002;33024;7.0000000000e+000
2.7706250000e+002;33025;7.0000000000e+000
2.8906250000e+002;33026;7.0000000000e+000
3.0106250000e+002;33025;7.0000000000e+000
3.1306250000e+002;33027;7.0000000000e+000
3.2506250000e+002;33026;7.0000000000e+000
3.3706250000e+002;33024;7.0000000000e+000
3.4906250000e+002;33027;7.0000000000e+000
3.6106250000e+002;33026;7.0000000000e+000
3.7306250000e+002;33024;7.0000000000e+000
3.8506250000e+002;33025;7.0000000000e+000
3.9606250000e+002;32770;0.0000000000e+000
3.9607812500e+002;33284;0.0000000000e+000
