Time (s);Identifier;Duration
1.5109375000e+01;33024;7.0000000000e+00
2.7109375000e+01;33026;7.0000000000e+00
3.9109375000e+01;33027;7.0000000000e+00
5.1109375000e+01;33025;7.0000000000e+00
6.3109375000e+01;33026;7.0000000000e+00
7.5109375000e+01;33025;7.0000000000e+00
8.7109375000e+01;33024;7.0000000000e+00
9.9109375000e+01;33027;7.0000000000e+00
1.1110937500e+02;33025;7.0000000000e+00
1.2310937500e+02;33026;7.0000000000e+00
1.3510937500e+02;33027;7.0000000000e+00
1.4710937500e+02;33024;7.0000000000e+00
1.5910937500e+02;33026;7.0000000000e+00
1.7110937500e+02;33024;7.0000000000e+00
1.8310937500e+02;33027;7.0000000000e+00
1.9510937500e+02;33025;7.0000000000e+00
2.0710937500e+02;33024;7.0000000000e+00
2.1910937500e+02;33027;7.0000000000e+00
2.3110937500e+02;33025;7.0000000000e+00
2.4310937500e+02;33026;7.0000000000e+00
2.5510937500e+02;33027;7.0000000000e+00
2.6710937500e+02;33024;7.0000000000e+00
2.7910937500e+02;33025;7.0000000000e+00
2.9110937500e+02;33026;7.0000000000e+00
3.0310937500e+02;33025;7.0000000000e+00
3.1510937500e+02;33027;7.0000000000e+00
3.2710937500e+02;33026;7.0000000000e+00
3.3910937500e+02;33024;7.0000000000e+00
3.5110937500e+02;33027;7.0000000000e+00
3.6310937500e+02;33026;7.0000000000e+00
3.7510937500e+02;33024;7.0000000000e+00
3.8710937500e+02;33025;7.0000000000e+00
3.9811718750e+02;32770;0.0000000000e+00
3.9811718750e+02;33284;0.0000000000e+00
