Time (s);Identifier;Duration
6.0875000000e+01;33024;5.0000000000e+00
6.8875000000e+01;33026;5.0000000000e+00
7.6875000000e+01;33027;5.0000000000e+00
8.4875000000e+01;33025;5.0000000000e+00
9.2875000000e+01;33026;5.0000000000e+00
1.0087500000e+02;33025;5.0000000000e+00
1.0887500000e+02;33024;5.0000000000e+00
1.1687500000e+02;33027;5.0000000000e+00
1.2487500000e+02;33025;5.0000000000e+00
1.3287500000e+02;33026;5.0000000000e+00
1.4087500000e+02;33027;5.0000000000e+00
1.4887500000e+02;33024;5.0000000000e+00
1.5687500000e+02;33026;5.0000000000e+00
1.6487500000e+02;33024;5.0000000000e+00
1.7287500000e+02;33027;5.0000000000e+00
1.8087500000e+02;33025;5.0000000000e+00
1.8887500000e+02;33024;5.0000000000e+00
1.9687500000e+02;33027;5.0000000000e+00
2.0487500000e+02;33025;5.0000000000e+00
2.1287500000e+02;33026;5.0000000000e+00
2.2087500000e+02;33027;5.0000000000e+00
2.2887500000e+02;33024;5.0000000000e+00
2.3687500000e+02;33025;5.0000000000e+00
2.4487500000e+02;33026;5.0000000000e+00
2.5287500000e+02;33025;5.0000000000e+00
2.6087500000e+02;33027;5.0000000000e+00
2.6887500000e+02;33026;5.0000000000e+00
2.7687500000e+02;33024;5.0000000000e+00
2.8487500000e+02;33027;5.0000000000e+00
2.9287500000e+02;33026;5.0000000000e+00
3.0087500000e+02;33024;5.0000000000e+00
3.0887500000e+02;33025;5.0000000000e+00
3.1687500000e+02;33024;5.0000000000e+00
3.2487500000e+02;33026;5.0000000000e+00
3.3287500000e+02;33027;5.0000000000e+00
3.4087500000e+02;33025;5.0000000000e+00
3.4887500000e+02;33024;5.0000000000e+00
3.5687500000e+02;33026;5.0000000000e+00
3.6487500000e+02;33027;5.0000000000e+00
3.7287500000e+02;33025;5.0000000000e+00
3.7937500000e+02;32770;0.0000000000e+00
