Time (s);Identifier;Duration
0.0000000000e+00;33025;6.2500000000e+00
6.2500000000e+00;33026;6.2500000000e+00
1.2500000000e+01;33027;6.2500000000e+00
1.8750000000e+01;33024;6.2500000000e+00
2.5000000000e+01;33025;6.2500000000e+00
3.1250000000e+01;33026;6.2500000000e+00
3.7500000000e+01;33027;6.2500000000e+00
4.3750000000e+01;33024;6.2500000000e+00
5.0000000000e+01;33025;6.2500000000e+00
5.6250000000e+01;33026;6.2500000000e+00
6.2500000000e+01;33027;6.2500000000e+00
6.8750000000e+01;33024;6.2500000000e+00
7.5000000000e+01;33025;6.2500000000e+00
8.1250000000e+01;33026;6.2500000000e+00
8.7500000000e+01;33027;6.2500000000e+00
9.3750000000e+01;33024;6.2500000000e+00
1.0000000000e+02;33025;6.2500000000e+00
1.0625000000e+02;33026;6.2500000000e+00
1.1250000000e+02;33027;6.2500000000e+00
1.1875000000e+02;33024;6.2500000000e+00
1.2500000000e+02;33025;6.2500000000e+00
1.3125000000e+02;33026;6.2500000000e+00
1.3750000000e+02;33027;6.2500000000e+00
1.4375000000e+02;33024;6.2500000000e+00
1.5000000000e+02;33025;6.2500000000e+00
1.5625000000e+02;33026;6.2500000000e+00
1.6250000000e+02;33027;6.2500000000e+00
1.6875000000e+02;33024;6.2500000000e+00
1.7500000000e+02;33025;6.2500000000e+00
1.8125000000e+02;33026;6.2500000000e+00
1.8750000000e+02;33027;6.2500000000e+00
1.9375000000e+02;33024;6.2500000000e+00
2.0000000000e+02;33025;6.2500000000e+00
2.0625000000e+02;33026;6.2500000000e+00
2.1250000000e+02;33027;6.2500000000e+00
2.1875000000e+02;33024;6.2500000000e+00
2.2500000000e+02;33025;6.2500000000e+00
2.3125000000e+02;33026;6.2500000000e+00
2.3750000000e+02;33027;6.2500000000e+00
2.4375000000e+02;33024;6.2500000000e+00
2.5000000000e+02;33025;6.2500000000e+00
2.5625000000e+02;33026;6.2500000000e+00
2.6250000000e+02;33027;6.2500000000e+00
2.6875000000e+02;33024;6.2500000000e+00
2.7500000000e+02;33025;6.2500000000e+00
2.8125000000e+02;33026;6.2500000000e+00
2.8750000000e+02;33027;6.2500000000e+00
2.9375000000e+02;33024;6.2500000000e+00
3.0000000000e+02;32770;0.0000000000e+00
